id,period,region,death_count
270,2019,New Zealand,34260
271,2020,Northland region,1644
272,2020,Auckland region,8328
273,2020,Waikato region,3357
274,2020,Bay of Plenty region,2526
275,2020,Gisborne region,393
276,2020,Hawke's Bay region,1440
277,2020,Taranaki region,1002
278,2020,Manawatu-Wanganui region,2052
279,2020,Wellington region,3282
280,2020,Tasman region,366
281,2020,Nelson region,444
282,2020,Marlborough region,423
283,2020,West Coast region,273
284,2020,Canterbury region,4476
285,2020,Otago region,1677
286,2020,Southland region,894
287,2020,"Region not stated or area outside region",30
288,2020,New Zealand,32613
289,2021,Northland region,1722
290,2021,Auckland region,8907
291,2021,Waikato region,3600
292,2021,Bay of Plenty region,2760
293,2021,Gisborne region,393
294,2021,Hawke's Bay region,1548
295,2021,Taranaki region,1035
296,2021,Manawatu-Wanganui region,2295
297,2021,Wellington region,3588
298,2021,Tasman region,420
299,2021,Nelson region,468
300,2021,Marlborough region,471
301,2021,West Coast region,336
302,2021,Canterbury region,4689
303,2021,Otago region,1764
304,2021,Southland region,891
305,2021,"Region not stated or area outside region",39
306,2021,New Zealand,34929
